Nº	Nome	Gênero	Diretor	Ano Lançamento	Nota	titleId	rating_IMDB	Escritor	Ator/Atriz			
1	Todo Mundo em Pânico 4	Comédia	David Zucker	2005	6.0	tt0362120	5.1	Shawn Wayans	Anna Faris, Regina Hall, Craig Bierko, Bill Pullman			
2	Miss Simpatia 2: Armada e Poderosa	Comédia	John Pasquin	2005	5.0	tt0385307	5.1	Caryn Lucas	Sandra Bullock, Regina King, William Shatner, Enrique Murciano		Notas	Significado
3	Fenômenos Paranormais 2	Horror	John Poliquin	2012	7.0	tt2231554	5.1	Colin Minihan	Richard Harmon, Shawn C. Phillips, Jennica Fulton, Jeffrey Bowyer-Chapman		1	Horrivel
4	O Iluminado	Thriller	Stanley Kubrick	1980	8.0	tt0081505	8.4	Stephen King	Jack Nicholson, Shelley Duvall, Danny Lloyd		2	Muito Ruim
5	O Rei da Água	Comédia	Frank Coraci	1998	6.5	tt0120484	6.1	Tim Herlihy	Adam Sandler, Kathy Bates, Henry Winkler, Fairuza Balk		3	Ruim
6	Meninas Malvadas	Comédia	Mark Waters	2004	7.5	tt0377092	7.1	Tina Fey	Lindsay Lohan, Jonathan Bennett, Rachel McAdams		4	Paia
7	Harry Potter e o Cálice de Fogo	Aventura	Mike Newell	2005	7.5	tt0764644	6.1	J.K. Rowling	Harper Marshall, Stephen Fry, Ralph Fiennes, Stanley Townsend, Daniel Larner, Gregg Chilingirian		5	Meia-bomba
8	Bee Movie	Comédia	Simon J. Smith	2007	7.5	tt0389790	6.1	Andy Robin	Jerry Seinfeld, Renée Zellweger, Matthew Broderick, Patrick Warburton		6	OK
9	Shrek Terceiro	Comédia	Chris Miller	2007	6.0	tt0413267	6.1	Jeffrey Price	Mike Myers, Cameron Diaz, Eddie Murphy, Antonio Banderas		7	Bom
10	Fenômenos Paranormais	Horror	Colin Minihan	2011	6.5	tt1703199	6.1	Stuart Ortiz	Benjamin Wilkinson, Sean Rogerson, Ashleigh Gryzko, Merwin Mondesir		8	Muito Bom
11	Liga da Justiça	Aventura	Zack Snyder	2021	5.5	tt0974015	6.1	Joss Whedon	Ben Affleck, Gal Gadot, Jason Momoa, Ezra Miller		9	Obra-Prima
12	O Chamado	Horror	Gore Berbinski	2002	8.0	tt0298130	7.1	Hiroshi Takahashi	Naomi Watts, Martin Henderson, Brian Cox, David Dorfman		10	Jogo Perfeiro
13	Bob Esponja: O Filme	Comédia	Mark Osborne	2004	8.0	tt0345950	7.1	Kent Osborne	Tom Kenny, Jeffrey Tambor, Rodger Bumpass, Carolyn Lawrence			
14	O Virgem de 40 Anos	Comédia	Judd Apatow	2005	6.5	tt0405422	7.1	Steve Carell	Steve Carell, Catherine Keener, Paul Rudd, Romany Malco			
15	Piratas do Caribe: No Fim do Mundo	Aventura	Gore Verbinski	2007	8.0	tt0449088	7.1	Ted Elliott	Johnny Depp, Orlando Bloom, Keira Knightley, Geoffrey Rush			
16	Trovão Tropical	Comédia	Ben Stiller	2008	7.0	tt0942385	7.1	Etan Cohen	Ben Stiller, Jack Black, Robert Downey Jr., Jeff Kahn			
17	Avatar	Aventura	James Cameron	2009	8.0	tt0499549	7.9	James Cameron	Sam Worthington, Zoe Saldana, Sigourney Weaver			
18	O Homem de Aço	Aventura	Zack Snyder	2013	7.5	tt0770828	7.1	Joe Shuster	Henry Cavill, Amy Adams, Michael Shannon, Diane Lane			
19	Licorice Pizza	Comédia	Paul Thomas Anderson	2021	7.0	tt11271038	7.1	Paul Thomas Anderson	Alana Haim, Cooper Hoffman, Sean Penn, Tom Waits			
20	O Exterminador do Futuro	Ação	James Cameron	1984	8.0	tt0088247	8.1	William Wisher	Arnold Schwarzenegger, Linda Hamilton, Michael Biehn, Paul Winfield			
21	Prenda-me se for Capaz	Biografia	Steven Spielberg	2002	7.0	tt0264464	8.1	Stan Redding	Leonardo DiCaprio, Tom Hanks, Christopher Walken, Martin Sheen			
22	Jackass	Comédia	Jeff Tremaine	2002	5.5	tt0322802	6.6	Jeff Tremaine	Johnny Knoxville, Bam Margera, Chris Pontius			
23	Piratas do Caribe: A Maldição do Pérola Negra	Aventura	Gore Verbinski	2003	7.5	tt0325980	8.1	Jay Wolpert	Johnny Depp, Geoffrey Rush, Orlando Bloom, Keira Knightley			
24	Gran Torino	Drama	Clint Eastwood	2008	8.0	tt1205489	8.1	Dave Johannson	Clint Eastwood, Bee Vang, Christopher Carley, Ahney Her			
25	2012	Aventura	Roland Emmerich	2009	7.0	tt1190080	5.8	Rolan Emmerich	John Cusack, Thandiwe Newton, Chiwetel Ejiofor			
26	Harry Potter e as Relíquias da Morte - Parte 2	Aventura	David Yates	2011	8.0	tt1201607	8.1	J.K. Rowling	Daniel Radcliffe, Emma Watson, Rupert Grint, Michael Gambon			
27	Ford vs Ferrari	Biografia	James Mangold	2019	8.5	tt1950186	8.1	Jason Keller	Matt Damon, Christian Bale, Jon Bernthal, Caitríona Balfe			
28	Acampamento do Papai	Comédia	Fred Savage	2007	4.5	tt0462244	3.2	Geoff Rodkey	Cuba Gooding Jr., Lochlyn Munro, Richard Gant, Tamala Jones			
29	Norbit	Comédia	Brian Robbins	2007	4.5	tt0477051	4.2	Eddie Murphy	Eddie Murphy, Thandiwe Newton, Terry Crews, Clifton Powell			
30	A Ligação	Thriller	Chung-Hyun Lee	2020	7.5	tt10530176	7.1	Chung-Hyun Lee	Park Shin-Hye, Jeon Jong-seo, Kim Sung-ryung			
31	Scooby-Doo 2	Comédia	Raja Gosnell	2004	5.5	tt0331632	5.2	James Gunn	Freddie Prinze Jr., Sarah Michelle Gellar, Matthew Lillard, Linda Cardellini			
32	Renascida do Inferno	Horror	David Gelb	2015	7.5	tt2918436	5.2	Jeremy Slater	Olivia Wilde, Mark Duplass, Evan Peters, Sarah Bolger			
33	Homem-Aranha	Ação	Sam Raimi	2002	8.0	tt0145487	7.4	Steve Ditko	Tobey Maguire, Kirsten Dunst, Willem Dafoe			
34	Ali G Indahouse	Comédia	Mark Mylod	2002	3.5	tt0284837	6.2	Dan Mazer	Sacha Baron Cohen, Emilio Rivera, Gina La Piana, Dana de Celis			
35	Johnny English	Comédia	Peter Howitt	2003	7.5	tt0274166	6.2	William Davies	Rowan Atkinson, John Malkovich, Natalie Imbruglia, Tasha de Vasconcelos			
36	Van Helsing	Aventura	Stephen Sommers	2004	7.0	tt0338526	6.1	Stephen Sommers	Hugh Lackman, Kate Beckinsale, Richard Roxburgh			
37	As Loucuras de Dick & Jane	Comédia	Dean Parisot	2005	7.5	tt0369441	6.2	Gerald Gaiser	Jim Carrey, Téa Leoni, Alec Baldwin, Richard Jenkins			
38	A Hora do Rush 3	Ação	Brett Ratner	2007	6.5	tt0293564	6.2	Ross LaManna	Jackie Chan, Chris Tucker, Max von Sydow, Hiroyuki Sanada			
39	Capitão América: O Primeiro Vingador	Aventura	Joe Johnston	2011	7.0	tt0458339	6.9	Christopher Markus	Chris Evans, Hugo Weaving, Samuel L. Jackson			
40	Assim na Terra Como no Inferno	Horror	John Erick Dowdle	2014	7.0	tt2870612	6.2	Drew Dowdle	Perdita Weeks, Ben Feldman, Edwin Hodge, François Civil			
41	Uma Noite no Museu 3: O Segredo da Tumba	Comédia	Shawn Levy	2014	6.0	tt2692250	6.2	Thomas Lennon	Ben Stiller, Robin Williams, Owen Wilson, Dick Van Dyke			
42	Johnny English 3.0	Comédia	David Kerr	2018	5.5	tt6921996	6.2	William Davies	Rowan Atkinson, Ben Miller, Olga Kurylenko, Emma Thompson			
43	Animais Fantásticos: Os Segredos de Dumbledore	Aventura	David Yates	2022	5.5	tt4123432	6.2	Steve Kloves	Eddie Redmayne, Jude Law, Ezra Miller, Dan Fogler			
44	Dragão Vermelho	Thriller	Brett Ratner	2002	7.0	tt0289765	7.2	Ted Tally	Anthony Hopkins, Edward Norton, Ralph Fiennes, Harvey Keitel			
45	Harry Potter e o Enigma do Príncipe	Aventura	David Yates	2009	7.5	tt0417741	7.6	J.K. Rowling	Daniel Radcliffe, Emma Watson, Rupert Grint, Michael Gambon			
46	A Origem	Ação	Christopher Nolan	2010	7.5	tt1375666	8.8	Christopher Nolan	Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page			
47	Truque de Mestre	Crime	Louis Leterrier	2013	7.0	tt1670345	7.2	Edward Ricourt	Jesse Eisenberg, Common, Mark Ruffalo, Woody Harrelson			
48	O Grande Gatsby	Drama	Baz Luhrmann	2013	4.5	tt1343092	7.2	F. Scott Fitzgerald	Leonardo DiCaprio, Carey Mulligan, Joel Edgerton, Tobey Maguire			
49	Animais Fantásticos e Onde Habitam	Aventura	David Yates	2016	7.5	tt3183660	7.2	J.K. Rowling	Eddie Redmayne, Katherine Waterston, Alison Sudol, Dan Fogler			
50	Mulher Maravilha	Aventura	Patty Jenkins	2017	7.0	tt0451279	7.4	Zack Snyder	Gal Gagot, Chris Pine, Robin Wright			
51	Monty Python em Busca do Cálice Sagrado	Comédia	Terry Gilliam	1975	4.0	tt0071853	8.2	John Cleese	Graham Chapman, John Cleese, Eric Idle, Terry Gilliam			
52	O Show de Truman	Comédia	Peter Weir	1998	6.5	tt0120382	8.2	Andrew Niccol	Jim Carrey, Ed Harris, Laura Linney, Noah Emmerich			
53	O Senhor dos Anéis: As Duas Torres	Aventura	Peter Jackson	2002	10	tt0167261	8.8	J.R.R. Tolkien	Elijah Wood, Viggo Mortensen, Ian McKellen, Orlando Bloom			
54	Procurando Nemo	Comédia	Andrew Stanton	2003	8.0	tt0266543	8.2	Andrew Stanton	Albert Brooks, Ellen DeGeneres, Alexander Gould, Willem Dafoe			
55	V de Vingança	Thriller	James McTeigue	2005	7.5	tt0434409	8.2	David Lloyd	Hugo Weaving, Natalie Portman, Rupert Graves, Stephen Rea			
56	Ilha do Medo	Thriller	Martin Scorsese	2010	8.0	tt1130884	8.2	Dennis Lehane	Leonardo DiCaprio, Emily Mortimer, Mark Ruffalo, Ben Kingsley			
57	O Lobo de Wall Street	Biografia	Martin Scorsese	2013	7.5	tt0993846	8.2	Jordan Belfort	Leonardo DiCaprio, Jonah Hill, Margot Robbie, Matthew McConaughey			
58	Seishun Buta Yaro wa Yumemiru Shoujo no Yume wo Minai	Drama	Sôichi Masui	2019	9.0	tt10472884	8.2	Masahiro Yokotani	Kaito Ishikawa, Asami Seto, Inori Minase, Nao Tôyama			
59	1917	Drama	Sam Mendes	2019	8.5	tt8579674	8.2	Krysty Wilson-Cairns	Dean-Charles Chapman, George MacKay, Daniel Mays, Colin Firth			
60	O Filho do Máskara	Comédia	Lawrence Guterman	2005	3.0	tt0362165	2.3	Lance Khazei	Jamie Kennedy, Traylor Howard, Alan Cumming, Liam Falconer			
61	Todo Mundo em Pânico 2	Comédia	Keenen Ivory Wayans	2001	6.5	tt0257106	5.3	Jason Friedberg	Anna Faris, Marlon Wayans, Antony Acker, Mark Barrett			
62	American Pie: Caindo em Tentação	Comédia	Andrew Waller	2007	7.5	tt0974959	5.3	Adam Herz	John White, Christopher McDonald, Jake Siegel, Lexie Galante			
63	Thor	Aventura	Kenneth Branagh	2011	7.0	tt0800369	7.0	Zack Stentz	Chris Hemsworth, Anthony Hopkins, Natalie Portman			
64	Project X	Comédia	Nima Nourizadeh	2012	7.5	tt1636826	6.6	Matt Drake	Thomas Mann, Oliver Cooper, Jonathan Daniel Brown			
65	A Entidade 2	Horror	Ciarán Foy	2015	6.5	tt2752772	5.3	C. Robert Cargill	James Ransone, Shannyn Sossamon, Robert Daniel Sloan, Dartanian Sloan			
66	Creep 2	Thriller	Patrick Brice	2017	6.0	tt3654796	6.4	Patrick Brice	Karan Soni, Mark Duplass, Desiree Akhavan			
67	A Freira	Horror	Coris Hardy	2018	5.5	tt5814060	5.3	James Wan	Demián Bichir, Taissa Farmiga, Jonas Bloquet, Bonnie Aarons			
68	Alien	Thriller	Ridley Scott	1979	7.5	tt0078748	8.5	Ronald Shusett	Sigourney Weaver, Tom Skerritt, John Hurt			
69	De Volta para o Futuro	Aventura	Robert Zemeckis	1985	9.0	tt0088763	8.5	Robert Zemeckis	Christopher Lloyd, Michael J. Fox, Lea Thompson			
70	Titanic	Drama	James Cameron	1997	8.5	tt0120338	7.9	James Cameron	Leonardo DiCaprio, Kate Winslet, Billy Zane			
71	Todo Mundo em Pânico	Comédia	Keenen Ivory Wayans	2000	8.0	tt0175142	6.3	Jason Friedberg	Anna Faris, Jon Abrahams, Marlon Wayans, Carmen Electra			
72	Miss Simpatia	Comédia	Donald Petrie	2000	5.5	tt0212346	6.3	Caryn Lucas	Sandra Bullock, Michael Caine, Benjamin Bratt, Candice Bergen			
73	American Pie 3	Comédia	Jesse Dylan	2003	7.5	tt0328828	6.3	Adam Herz	Jason Biggs, Alyson Hannigan, Seann William Scott, Eugene Levy			
74	De Repente 30	Comédia	Gary Winick	2004	5.5	tt0337563	6.3	Cathy Yuspa	Jennifer Garner, Mark Ruffalo, Judy Greer, Andy Serkis			
75	Homem-Aranha 3	Ação	Sam Raimi	2007	7.5	tt0413300	6.3	Sam Raimi	Tobey Maguire, Kirsten Dunst, Topher Grace, Thomas Haden Church			
76	Uma Noite Fora de Série	Comédia	Shawn Levy	2010	7.0	tt1279935	6.3	Josh Klausner	Steve Carell, Tina Fey, Mark Wahlberg, Taraji P. Henson			
77	O Retorno de Johnny English	Comédia	Oliver Parker	2011	7.0	tt1634122	6.3	Robert Wade	Rowan Atkinson, Rosamund Pike, Dominic West, Roger Barclay			
78	Eu Queria Ter a Sua Vida	Comédia	David Dobkin	2011	6.0	tt1488555	6.3	Scott Moore	Jason Bateman, Ryan Reynolds, Olivia Wilde, Leslie Mann			
79	Invocação do Mal 3: A Ordem do Demônio	Horror	Michael Chaves	2021	7.5	tt7069210	6.3	Carey W. Hayes	Patrick Wilson, Vera Farmiga, Ruairi O'Connor, Sarah Catherine Hook			
80	Ninguém Vai Te Salvar	Thriller	Brian Duffield	2023	6.5	tt14509110	6.3	Brian Duffield	Kaitlyn Dever, Elizabeth Kaluev, Zack Duhame, Lauren L. Murray			
81	Good Morning, Vietnam	Drama	Barry Levinson	1987	9.0	tt0093105	7.3	Mitch Markowitz	Robin Williams, Forest Whitaker, Tom. T. Tran, Chintara Sukapatana			
82	Debi & Lóide: Dois Idiotas em Apuros	Comédia	Farrellys	1994	6.5	tt0109686	7.3	Bennett Yellin	Jim Carrey, Jeff Daniels, Lauren Holly, Mike Starr			
83	Harry Potter e a Pedra Filosofal	Aventura	Chris Columbus	2001	7.5	tt0241527	7.6	J.K. Rowling	Daniel Radcliffe, Emma Watson, Rupert Grint, Michael Gambon			
84	Os Simpsons: O Filme	Comédia	David Silverman	2007	8.5	tt0462538	7.3	Ian Maxtone-Graham	Dan Castellaneta, Julie Kavner, Nancy Cartwright, Yeardley Smith			
85	Megamente	Comédia	Tom McGrath	2010	7.5	tt1001526	7.3	Brent Simons	Will Ferrell, Jonah Hill, Brad Pitt, Tina Fey			
86	Invocação do Mal 2	Horror	James Wan	2016	7.5	tt3065204	7.3	James Wan	Vera Farmiga, Patrick Wilson, Madison Wolfe, Frances O'Connor			
87	El Camino	Ação	Vince Gilligan	2019	8.0	tt9243946	7.3	Vince Gilligan	Aaron Paul, Jonathan Banks, Matt Jones, Charles Baker			
88	Laranja Mecânica	Thriller	Stanley Kubrick	1971	7.5	tt0066921	8.3	Anthony Burgess	Malcolm McDowell, Patrick Magee, Michael Bates, Warren Clarke			
89	O Senhor dos Anéis: O Retorno do Rei	Aventura	Peter Jackson	2003	10	tt0167260	9.0	J.R.R. Tolkien	Elijah Wood, Viggo Mortensen, Ian McKellen, Orlando Bloom			
90	Um Sonho de Liberdade	Drama	Frank Darabont	1994	8.5	tt0111161	9.3	Stephen King	Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler			
91	Deu a Louca em Hollywood	Comédia	Jason Friedberg	2007	4.5	tt0799949	2.4	Jason Friedberg	Kal Penn, Jennifer Coolidge, Fred Willard, Adam Campbell			
92	Vovó... Zona 3: Tal Pai, Tal Filho	Comédia	John Whitesell	2011	6.0	tt1464174	4.4	Darryl Quarles	Martin Lawrence, Brandon T. Jackson, Jessica Lucas, Michelle Ang			
93	A Múmia	Aventura	Stephen Sommers	1999	7.5	tt0120616	7.1	Stephen Sommers	Brendan Fraser, Rachel Weisz, John Hannah			
94	A Volta do Todo Poderoso	Comédia	Tom Shadyac	2007	7.5	tt0413099	5.4	Steve Koren	Steve Carell, Morgan Freeman, Lauren Graham, Johnny Simmons			
95	O Paizão	Comédia	Dennis Dugan	1999	7.5	tt0142342	6.4	Tim Herlihy	Adam Sandler, Joey Lauren Adams, Jon Stewart, Cole Sprouse			
96	American Pie 2	Comédia	J.B. Rogers	2001	8.0	tt0252866	6.4	David H. Steinberg	Jason Biggs, Seann William Scott, Shannon Elizabeth, Alyson Hannigan			
97	O Código Da Vinci	Thriller	Ron Howard	2006	7.5	tt0382625	6.6	Dan Brown	Tom Hanks, Audrey Tautou, Jean Reno			
98	As Férias de Mr. Bean	Comédia	Steve Bendelack	2007	6.5	tt0453451	6.4	Robin Driscoll	Rowan Atkinson, Willem Dafoe, Steve Pemberton, Lily Atkinson			
99	Esposa de Mentirinha	Comédia	Dennis Dugan	2011	6.5	tt1564367	6.4	Abe Burrows	Adam Sandler, Jennifer Aniston, Brooklyn Decker, Nicole Kidman			
100	O Ditador	Comédia	Larry Charles	2012	6.5	tt1645170	6.4	Sacha Baron Cohen	Sacha Baron Cohen, Anna Faris, John C. Reilly, Ben Kingsley			
101	Batman: A Piada Mortal	Thriller	Sam Liu	2016	6.0	tt4853102	6.4	Bill Finger	Kevin Conroy, Mark Hamill, Tara Strong, Ray Wise			
102	Aves de Rapina	Aventura	Cathy Yan	2020	3.5	tt7713068	6.1	Christina Hodson	Margot Robbie, Rosie Perez, Mary Elizabeth Winstead			
103	Hellraiser	Horror	Clive Barker	1987	7.0	tt0093177	6.9	Clive Barker	Andrew Robinson, Clare Higgins, Ashley Laurance			
104	De Volta para o Futuro - Parte III	Aventura	Robert Zemeckis	1990	8.0	tt0099088	7.4	Bob Gale	Michael J. Fox, Christopher Lloyd, Mary Steenburgen, Tom Wilson			
